user_id,recommend_yes,recommend_not
--000--,1,0
--ace--,2,0
--ionex--,2,0
-2SV-vuLB-Kg,5,0
-Azsael-,1,0
-Beave-,1,0
-GM-Dragon,1,1
-I_AM_EPIC-,1,0
-Kenny,1,0
-Mad-,2,0
-PRoSlayeR-,1,1
-SEVEN-,7,2
-SatansLittleHelper-,1,0
-Thyme-,1,0
-Ultrix,1,0
-Zovix-,1,0
-_PussyDestroyer_-,3,2
-kainey9777,1,0
0-3-0,2,0
00000000000000000001227,6,0
001000111000111000010,1,0
00284702,1,0
00454211432342,1,1
00690069006900,1,0
00810cccyyykkk,1,0
0099654321891111,1,0
00True,2,0
01001000-01101001,4,0
011011010111001000101110,1,0
011111135489484797,2,0
01189958889189157253,5,1
01221733,2,0
0132489,1,0
0136849195,1,0
01shan,1,0
022899,3,0
03092002,1,0
04061993,5,0
04092013,1,0
0412734634,1,0
042153100,1,1
04280122,1,0
0432-026-no,1,0
0445233,1,0
0468313256,1,0
05041129,4,2
05461025,1,0
0700464574757,1,0
07824,2,0
07846813956825,0,2
08254669696969696969,5,0
0854029092,1,0
0896398616,2,0
0903512455,2,0
09106,4,0
091263,9,0
094553552,2,0
095732,2,1
095843067,1,0
09876543231,1,0
098766catdogbnmnnn,3,0
09879655452567,7,1
10000000thVisitor,1,0
100101011111000011111111,4,0
1001101001110101,0,1
10051997,7,0
10101010101010109,1,0
101010101111,1,0
1011001,9,1
1016523030,1,0
10197226,1,0
102598615,1,0
106816544,1,0
10936543792,2,0
10Degree,5,0
10oyard,1,0
110211021,1,1
1103703132946,1,0
11111121111122221,2,0
111190869,1,0
111222333444555666888,12,2
11124,0,1
111zerosen,1,0
1122305938,3,1
112367263762,3,1
112asdasfasdasd,1,0
113595,3,0
1136579070,1,0
11567jj,1,0
117331,1,0
117arbiter,6,0
11925219096,1,0
119922883377446655123456789,0,1
11XGX,1,1
120445,1,0
120488700,1,0
12066gdc,2,0
1212343456567878909,2,0
12125,2,0
12223536,1,1
123123123131231231,1,0
12312312332123,3,0
123123718417671290,1,0
123232343432555686888554456555,1,0
12332165478953761,2,0
1234148932401,7,0
12341846,1,0
12345676543456789098543,2,0
1234567810132,1,0
12345678901234567890123456567890,6,1
1234567890192837465,3,0
12345678910a,1,0
123456789874561232145678,1,0
123456789diamond987654321,1,0
1234567io9872345678765432,7,1
1234865654,1,0
12391939123,2,0
12398uf8jg21390,1,0
123joshua321,1,0
123repulseMe,3,0
12536475869trhgsdf,6,0
1263512533427542734,1,1
12779,4,1
12839201,1,0
129874182,2,0
12DeAgostoAs12HRSe26MIN,2,0
12_gauge_org,3,0
12das,2,0
1300655506nigga,2,0
131312,7,2
131467132,1,0
1321742413,4,1
13305678912,1,0
133742069174,1,0
1337666133766613376661337,1,0
1337Akraken,0,1
1337_K_REW,2,0
1337hunter,1,0
1337lolroflmao,9,0
1337putin,4,0
1343534566,3,0
13457856281,2,0
135781,7,1
13971397,5,0
13lazer,1,0
14125161412,1,0
14372193,2,0
