app_name,price,id,developer,principal_genre,principal_tag,principal_spec,release_year
Lost Summoner Kitty,4.99,761140,Kotoshiro,Action,Strategy,Single-player,2018
Ironbound,0.0,643980,Secret Level SRL,Free to Play,Free to Play,Single-player,2018
Real Pool 3D - Poolians,0.0,670290,Poolians.com,Casual,Free to Play,Single-player,2017
弹炸人2222,0.99,767400,彼岸领域,Action,Action,Single-player,2017
Log Challenge,2.99,773570,Sin dato,Sin dato,Action,Single-player,2017
Battle Royale Trainer,3.99,772540,Trickjump Games Ltd,Action,Action,Single-player,2018
SNOW - All Access Basic Pass,9.99,774276,Poppermost Productions,Free to Play,Free to Play,Single-player,2018
SNOW - All Access Pro Pass,18.99,774277,Poppermost Productions,Free to Play,Free to Play,Single-player,2018
SNOW - All Access Legend Pass,29.99,774278,Poppermost Productions,Free to Play,Free to Play,Single-player,2018
Race,8.866131486539212,768800,RewindApp,Casual,Indie,Single-player,2018
Uncanny Islands,8.866131486539212,768570,Qucheza,Action,Early Access,Single-player,2017
Icarus Six Sixty Six,0.0,724910,Sin dato,Sin dato,Casual,Single-player,2017
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380,Stegalosaurus Game Development,Action,Action,Single-player,2018
Beach Rules,3.99,768880,Copperpick Studio,Casual,Casual,Single-player,2018
Planetarium 2 - Zen Odyssey,2.99,765320,Ghulam Jewel,Casual,Indie,Single-player,2018
The first thrust of God,1.5899999999999999,773650,Apillo,Adventure,Strategy,Single-player,2018
SNOW - Starter Pack,14.99,774271,Poppermost Productions,Free to Play,Free to Play,Single-player,2018
The first thrust of God - All Aircrafts,1.99,773690,Apillo,Adventure,Strategy,Single-player,2018
SNOW - Lifetime Pack,59.99,774279,Poppermost Productions,Free to Play,Free to Play,Single-player,2018
After Life VR,4.99,772590,Sin dato,Sin dato,Early Access,Single-player,2017
Kitty Hawk,2.99,640250,Sin dato,Sin dato,Early Access,Single-player,2017
The Warrior Of Treasures,0.99,768060,Tero Lunkka,Action,Action,Single-player,2018
Mortars VR,0.99,711440,Sin dato,Sin dato,Early Access,Single-player,2017
RC Plane 3 - Canyon Scenario,2.99,775880,FrozenPepper,Racing,Simulation,Single-player,2017
RC Plane 3 - F-53B,2.99,775881,FrozenPepper,Racing,Simulation,Single-player,2017
DinoBlaster,4.99,653960,Casey Labrack,Action,Indie,Single-player,2018
Robotpencil Presents: Understanding 3D for Concept,4.99,777910,Sin dato,Sin dato,Design & Illustration,Sin dato,2018
Carmageddon Max Pack,9.99,282010,Stainless Games Ltd,Action,Racing,Single-player,1997
Half-Life,9.99,70,Valve,Action,FPS,Single-player,1998
Fallen Mage,1.99,752360,dev4play,Action,Action,Single-player,2016
Don't Get Hit In The Face,3.99,594200,Sin dato,Sin dato,Action,Single-player,2017
Lost Cities,8.866131486539212,520680,BlueLine Games,Casual,Casual,Single-player,2018
Twisted Enhanced Edition,8.866131486539212,690410,Games by Brundle,Action,Action,Single-player,2018
